id,num_casualties,num_fatal,num_serious,num_slight,aadt_total,casualties_per_aadt
osgb4000000030138944,,,,,7545,
osgb4000000030703346,,,,,1000,
osgb4000000030239120,,,,,17,
osgb4000000030479599,,,,,6295,
osgb4000000031030113,,,,,986,
osgb4000000030462602,,,,,9002,
osgb4000000031063367,,,,,3508,
osgb4000000030340932,,,,,829,
osgb4000000030420160,,,,,1635,
osgb4000000030147933,,,,,5135,
osgb4000000030240969,,,,,6795,
osgb4000000030155712,,,,,4847,
osgb4000000030322824,,,,,5647,
osgb4000000030250294,,,,,1990,
osgb4000000030215498,,,,,10008,
osgb4000000030425287,,,,,5719,
osgb4000000030324415,,,,,3305,
osgb4000000030453539,,,,,3076,
osgb4000000031051808,,,,,5941,
osgb4000000030344019,,,,,11933,
osgb4000000030407886,,,,,9810,
osgb4000000030346990,,,,,10452,
osgb4000000030100350,,,,,6419,
osgb4000000030405650,,,,,5253,
osgb4000000030321497,,,,,4578,
osgb4000000030134199,,,,,3840,
osgb4000000030801800,,,,,4976,
osgb4000000030323439,,,,,3513,
osgb4000000031172486,,,,,3285,
osgb4000000031050049,,,,,7426,
osgb4000000030147155,,,,,5595,
osgb4000000031056915,,,,,3534,
osgb4000000030348565,,,,,4431,
osgb4000000030356690,,,,,8149,
osgb4000000030253288,,,,,1888,
osgb4000000030713004,,,,,8912,
osgb4000000030146437,,,,,4538,
osgb4000000030356232,,,,,3763,
osgb4000000030357069,,,,,3318,
osgb4000000030427903,,,,,8644,
osgb4000000031008262,,,,,6065,
osgb4000000030322891,,,,,5218,
osgb4000000030328969,,,,,4545,
osgb4000000030252851,,,,,5842,
osgb4000000031091145,,,,,5832,
osgb4000000030407446,,,,,15343,
osgb4000000030242221,,,,,11158,
osgb4000000030242220,,,,,31098,
osgb4000000030217235,,,,,24950,
osgb4000000030987693,,,,,21047,
osgb4000000030153048,,,,,12896,
osgb4000000030215842,,,,,29864,
osgb4000000031162090,,,,,17622,
osgb4000000031162096,,,,,8568,
osgb4000000030453612,,,,,19346,
osgb4000000030217113,,,,,23897,
osgb4000000031042001,,,,,16669,
osgb4000000030324659,,,,,15272,
osgb4000000030217104,,,,,34184,
osgb4000000030138983,,,,,19849,
osgb4000000030342559,,,,,10287,
osgb4000000031177977,,,,,7350,
osgb4000000030993363,,,,,14444,
osgb4000000030099819,,,,,28858,
osgb4000000030357554,,,,,22907,
osgb4000000030250931,,,,,21079,
osgb4000000030096381,,,,,38264,
osgb4000000030215472,,,,,45977,
osgb4000000031157175,,,,,37955,
osgb4000000030322686,,,,,31879,
osgb4000000030411845,,,,,19065,
osgb4000000030213369,,,,,13438,
osgb4000000030405983,,,,,16030,
osgb4000000030452775,,,,,25267,
osgb4000000030406000,,,,,21219,
osgb4000000030356347,,,,,13935,
osgb4000000030252661,,,,,13504,
osgb4000000030252507,,,,,16958,
osgb4000000030241398,,,,,20325,
osgb4000000030479826,,,,,18264,
osgb4000000030801687,,,,,9336,
osgb4000000030225009,,,,,41861,
osgb4000000030455248,,,,,14908,
osgb4000000030139211,,,,,35829,
osgb4000000030138693,,,,,61380,
osgb4000000030081980,,,,,52544,
osgb4000000030081973,,,,,47543,
osgb4000000030328768,,,,,41782,
osgb4000000030426662,,,,,12958,
osgb4000000030967234,,,,,16965,
osgb4000000030405854,,,,,9985,
osgb4000000030347429,,,,,21716,
osgb4000000030346667,,,,,16512,
osgb4000000030405607,,,,,8930,
osgb4000000030215733,,,,,41727,
osgb4000000030215840,,,,,37797,
osgb4000000030406954,,,,,36963,
osgb4000000030407356,,,,,46913,
osgb4000000031056171,,,,,9355,
osgb4000000030240749,,,,,24266,
osgb4000000030100001,,,,,22067,
osgb4000000031085765,,,,,31980,
osgb4000000030213145,,,,,16089,
osgb4000000031088361,,,,,698,
osgb4000000030250392,,,,,19713,
osgb4000000030214536,,,,,24328,
osgb4000000030145624,,,,,12387,
osgb4000000030239183,,,,,50477,
osgb4000000030344114,,,,,27831,
osgb4000000030147354,,,,,10119,
osgb4000000030323618,,,,,9257,
osgb4000000031088379,,,,,4859,
osgb4000000030134721,,,,,32652,
osgb4000000030420091,,,,,28258,
osgb4000000030459948,,,,,27974,
osgb4000000030133939,,,,,9692,
osgb4000000031006630,,,,,6750,
osgb4000000031274779,,,,,15483,
osgb4000000030146032,,,,,11474,
osgb4000000030235894,,,,,16460,
osgb4000000030215990,,,,,18725,
osgb4000000030417603,,,,,16722,
osgb4000000030237231,,,,,34341,
osgb4000000030135392,,,,,32505,
osgb4000000030135397,,,,,33412,
osgb4000000030322028,,,,,39660,
osgb4000000030347425,,,,,13689,
osgb4000000030241778,,,,,28083,
osgb4000000031162141,,,,,416,
osgb4000000031252031,,,,,1598,
osgb4000000030222818,,,,,20433,
osgb4000000030473591,,,,,17300,
osgb4000000031088396,,,,,5361,
osgb4000000030993399,,,,,8467,
osgb4000000030355095,,,,,7663,
osgb4000000030348924,,,,,10220,
osgb4000000030356194,,,,,8504,
osgb4000000031026943,,,,,13316,
osgb4000000030240742,,,,,2927,
osgb4000000031114650,,,,,5819,
osgb4000000030418753,,,,,13190,
osgb4000000030147404,,,,,13884,
osgb4000000031163790,,,,,17771,
osgb4000000030097536,,,,,8367,
osgb4000000030479244,,,,,9521,
osgb4000000031256578,,,,,19074,
osgb4000000030410470,,,,,4327,
osgb4000000030244027,,,,,18683,
osgb4000000030244028,,,,,19555,
osgb4000000030321431,,,,,20855,
osgb4000000030134072,,,,,20783,
osgb4000000030214257,,,,,5273,
osgb4000000030215175,,,,,28619,
osgb4000000030215194,,,,,10213,
osgb4000000030453208,,,,,42892,
osgb4000000030473577,,,,,16067,
osgb4000000030407206,,,,,13466,
osgb4000000030452895,,,,,15500,
osgb4000000030406302,,,,,16810,
osgb4000000031198378,,,,,22769,
osgb4000000030458971,,,,,13544,
osgb4000000030458829,,,,,5087,
osgb4000000030147629,,,,,17634,
osgb4000000030459877,,,,,18695,
osgb4000000031231075,,,,,12844,
osgb4000000030345636,,,,,1515,
osgb4000000030243428,,,,,1510,
osgb4000000031182218,,,,,1515,
osgb4000000030974127,,,,,1497,
osgb4000000030251243,,,,,5968,
osgb4000000030357230,,,,,17422,
osgb4000000030320474,,,,,11206,
osgb4000000030452854,,,,,10652,
osgb4000000031053526,,,,,2840,
osgb4000000030701251,,,,,8931,
osgb4000000030323307,,,,,5795,
osgb4000000030322957,,,,,19877,
osgb4000000030701074,,,,,11278,
osgb4000000030235513,,,,,5514,
osgb4000000030993394,,,,,26278,
osgb4000000031215157,,,,,7962,
osgb4000000031207655,,,,,8812,
osgb4000000030475211,,,,,13249,
osgb4000000030974126,,,,,12093,
osgb4000000030342182,,,,,23656,
osgb4000000030239517,,,,,8229,
osgb4000000030240272,,,,,31772,
osgb4000000030243843,,,,,14648,
osgb4000000030251542,,,,,9753,
osgb4000000030463280,,,,,6856,
osgb4000000030256196,,,,,10036,
osgb4000000031151654,,,,,8951,
osgb4000000030133281,,,,,11800,
osgb4000000030134159,,,,,11230,
osgb4000000030096146,,,,,21155,
osgb4000000030410514,,,,,11676,
osgb4000000031138391,,,,,16008,
osgb4000000030236870,,,,,9939,
osgb4000000030343142,,,,,7603,
osgb4000000030147201,,,,,3345,
osgb4000000030345242,,,,,8979,
osgb4000000030420359,,,,,5815,
osgb4000000030241176,,,,,9734,
osgb4000000030421340,,,,,7098,
osgb4000000030357558,,,,,15690,
osgb4000000030357564,,,,,15086,
osgb4000000031054799,,,,,7714,
osgb4000000030215345,,,,,18926,
osgb4000000030216641,,,,,16496,
osgb4000000030407258,,,,,6634,
osgb4000000030138920,,,,,16927,
osgb4000000030238504,,,,,10998,
osgb4000000030860637,,,,,5215,
osgb4000000030463159,,,,,11489,
osgb4000000030426554,,,,,8526,
osgb4000000030357477,,,,,11202,
osgb4000000030252846,,,,,12827,
osgb4000000030254369,,,,,20844,
osgb4000000030405716,,,,,8215,
osgb4000000031039578,,,,,3056,
osgb4000000030133821,,,,,7897,
osgb4000000030328782,,,,,14289,
osgb4000000031215409,,,,,7790,
osgb4000000031177906,,,,,8988,
osgb4000000031177904,,,,,21102,
osgb4000000030235676,,,,,21107,
osgb4000000030475153,,,,,16155,
osgb4000000030701122,,,,,11772,
osgb4000000030462841,,,,,15348,
osgb4000000030426578,,,,,21901,
osgb4000000030405779,,,,,11125,
osgb4000000030139303,,,,,14551,
osgb4000000030345939,,,,,34332,
osgb4000000030406851,,,,,11806,
osgb4000000030356941,,,,,13067,
osgb4000000030419788,,,,,8252,
osgb4000000031202660,,,,,2342,
osgb4000000031034251,,,,,4163,
osgb4000000030251675,,,,,4852,
osgb4000000030453051,,,,,8735,
osgb4000000030342252,,,,,4067,
osgb4000000030238585,,,,,12602,
osgb4000000030405435,,,,,9508,
osgb4000000030455295,,,,,15908,
osgb4000000030223224,,,,,13512,
osgb4000000030223266,,,,,15908,
osgb4000000030455223,,,,,10328,
osgb4000000031040032,,,,,5668,
osgb4000000030134410,,,,,10339,
osgb4000000030330123,,,,,11803,
osgb4000000031203533,,,,,4532,
osgb4000000030346756,,,,,9653,
osgb4000000030100091,,,,,3447,
osgb4000000030153510,,,,,12616,
osgb4000000030860686,,,,,5235,
osgb4000000030153519,,,,,14633,
osgb4000000030359739,,,,,6443,
osgb4000000030134608,,,,,16781,
osgb4000000030410568,,,,,9741,
osgb4000000030987729,,,,,4580,
osgb4000000030145831,,,,,496,
osgb4000000031029000,,,,,8117,
osgb4000000031159129,,,,,3934,
osgb4000000030148404,,,,,5449,
osgb4000000030241992,,,,,5457,
osgb4000000030357299,,,,,4249,
osgb4000000030406454,,,,,7542,
osgb4000000030406561,,,,,7261,
osgb4000000030455079,,,,,4838,
osgb4000000030147560,,,,,13672,
osgb4000000030419567,,,,,5237,
osgb4000000030240893,,,,,9461,
osgb4000000030250428,,,,,12699,
osgb4000000030216367,,,,,6357,
osgb4000000030473610,,,,,6788,
osgb4000000030419825,,,,,11114,
osgb4000000030139350,,,,,23782,
osgb4000000030224019,,,,,13823,
osgb4000000030427567,,,,,9477,
osgb4000000030139326,,,,,6864,
osgb4000000030236737,,,,,7203,
osgb4000000030346140,,,,,561,
osgb4000000030410771,,,,,9388,
osgb4000000030357782,,,,,10514,
osgb4000000030410894,,,,,3202,
osgb4000000030146316,,,,,14397,
osgb4000000030138772,,,,,9613,
osgb4000000030134337,,,,,16530,
osgb4000000030342276,,,,,5465,
osgb4000000030343626,,,,,1889,
osgb4000000030223389,,,,,1883,
osgb4000000030147010,,,,,7074,
osgb4000000030343692,,,,,952,
osgb4000000030407793,,,,,1612,
osgb4000000030238567,,,,,4717,
osgb4000000030344685,,,,,564,
osgb4000000030320968,,,,,2421,
osgb4000000030405880,,,,,3663,
osgb4000000030405834,,,,,2681,
osgb4000000030321411,,,,,3847,
osgb4000000030321858,,,,,6491,
osgb4000000030323047,,,,,2366,
osgb4000000030097546,,,,,2934,
osgb4000000030223197,,,,,3413,
osgb4000000030224998,,,,,4394,
osgb4000000030416691,,,,,831,
osgb4000000030458644,,,,,7530,
osgb4000000030237051,,,,,3968,
osgb4000000030148245,,,,,422,
osgb4000000030983828,,,,,2312,
osgb5000005140963299,,,,,8622,
osgb4000000030235759,,,,,2727,
osgb4000000030340773,,,,,175,
osgb4000000030341563,,,,,1978,
osgb4000000030147585,,,,,2267,
osgb4000000031055924,,,,,5589,
osgb4000000030420811,,,,,2654,
osgb4000000030425442,,,,,1173,
osgb4000000030250790,,,,,1570,
osgb4000000030216047,,,,,8282,
osgb4000000030329330,,,,,5639,
osgb4000000030146457,,,,,2542,
osgb4000000030341539,,,,,1752,
osgb4000000030240814,,,,,251,
osgb4000000030241162,,,,,1917,
osgb4000000030256231,,,,,8043,
osgb4000000030213452,,,,,1906,
osgb4000000030238994,,,,,6978,
osgb4000000030418892,,,,,9559,
osgb4000000030344013,,,,,6978,
osgb4000000030459122,,,,,6572,
osgb4000000031203638,,,,,2109,
osgb4000000030418514,,,,,3671,
osgb4000000030146152,,,,,9339,
osgb4000000030250505,,,,,2317,
osgb4000000030215882,,,,,6572,
osgb4000000030342792,,,,,2078,
osgb4000000030479229,,,,,7389,
osgb4000000031250077,,,,,7136,
osgb4000000030344651,,,,,11388,
osgb4000000030872359,,,,,3328,
osgb4000000030702329,,,,,9937,
osgb4000000030455195,,,,,9934,
osgb4000000030453058,,,,,6748,
osgb4000000030321161,,,,,5599,
osgb4000000030452884,,,,,1895,
osgb4000000030215681,,,,,3365,
osgb4000000030323527,,,,,7082,
osgb4000000030453443,,,,,8161,
osgb4000000030323963,,,,,8161,
osgb4000000030216626,,,,,3116,
osgb4000000030702967,,,,,8269,
osgb4000000030138713,,,,,10385,
osgb4000000030223517,,,,,6367,
osgb4000000030411334,,,,,3776,
osgb4000000030341889,,,,,160,
osgb4000000030860694,,,,,5738,
osgb4000000030419801,,,,,3855,
osgb4000000030147690,,,,,3859,
osgb4000000030347434,,,,,1659,
osgb4000000031032601,,,,,4784,
osgb4000000030841187,,,,,5470,
osgb4000000030212793,,,,,7613,
osgb4000000030702944,,,,,6677,
osgb4000000030322746,,,,,10807,
osgb4000000031163823,,,,,3975,
osgb4000000030223750,,,,,5440,
osgb4000000030346563,,,,,5730,
osgb4000000030702935,,,,,7903,
osgb4000000031050134,,,,,2186,
osgb4000000030237406,,,,,289,
osgb4000000031037967,,,,,6442,
osgb4000000030214747,,,,,5348,
osgb4000000030453135,,,,,2594,
osgb4000000030410871,,,,,4892,
osgb4000000030223079,,,,,15821,
osgb4000000031186720,,,,,2199,
osgb4000000030453083,,,,,7311,
osgb4000000030217269,,,,,808,
osgb4000000030342199,,,,,6991,
osgb5000005143344348,,,,,2382,
osgb4000000030238554,,,,,2757,
osgb4000000030147285,,,,,3618,
osgb4000000030453574,,,,,15325,
osgb4000000030407859,,,,,4466,
osgb4000000030703041,,,,,7109,
osgb4000000030341426,,,,,7903,
osgb4000000030341826,,,,,3510,
osgb4000000030655216,,,,,8768,
osgb4000000030346759,,,,,4790,
osgb4000000030241348,,,,,4790,
osgb4000000030425749,,,,,2405,
osgb4000000030222575,,,,,8282,
osgb4000000030099605,,,,,8007,
osgb4000000030236112,,,,,3891,
osgb4000000030345068,,,,,4041,
osgb4000000030345121,,,,,7518,
osgb4000000030654907,,,,,1974,
osgb4000000031225651,,,,,7432,
osgb4000000031149024,,,,,3277,
osgb4000000030251632,,,,,8194,
osgb4000000030425855,,,,,8194,
osgb4000000030241478,,,,,7392,
osgb4000000030256000,,,,,6467,
osgb4000000030416877,,,,,1592,
osgb4000000030235596,,,,,7135,
osgb4000000031234715,,,,,3552,
osgb4000000031279133,,,,,3674,
osgb4000000030153288,,,,,4772,
osgb4000000030420554,,,,,8745,
osgb4000000030101978,,,,,7213,
osgb4000000031110367,,,,,1214,
osgb4000000030339947,,,,,4177,
osgb4000000030240473,,,,,2666,
osgb4000000030328835,,,,,7181,
osgb4000000030329554,,,,,8817,
osgb4000000030241217,,,,,5414,
osgb4000000030101803,,,,,6937,
osgb4000000030700746,,,,,5332,
osgb4000000031243266,,,,,48087,
osgb4000000030406702,,,,,37764,
osgb4000000030411056,,,,,21123,
osgb4000000030329917,,,,,41538,
osgb4000000030411173,,,,,26890,
osgb4000000030990394,,,,,51551,
osgb4000000030149513,,,,,13503,
osgb4000000030420438,,,,,13503,
osgb4000000030213858,,,,,26459,
osgb4000000030135169,,,,,20353,
osgb4000000030355036,,,,,16430,
osgb4000000030323933,,,,,24009,
osgb4000000030342307,,,,,9729,
osgb4000000030324904,,,,,7072,
osgb4000000030237799,,,,,50735,
osgb4000000030342310,,,,,6673,
osgb4000000030252986,,,,,22907,
osgb4000000030140170,,,,,18754,
osgb4000000030250690,,,,,8871,
osgb4000000030215563,,,,,40904,
osgb4000000030322761,,,,,40861,
osgb4000000030700995,,,,,44774,
osgb4000000030943551,,,,,31891,
osgb4000000030331185,,,,,19065,
osgb4000000031205565,,,,,23660,
osgb4000000030654242,,,,,12528,
osgb4000000030700742,,,,,22811,
osgb4000000030426359,,,,,9480,
osgb4000000030154027,,,,,9337,
osgb4000000030322055,,,,,14730,
osgb4000000030322233,,,,,55379,
osgb4000000030222437,,,,,57308,
osgb4000000030454972,,,,,47428,
osgb4000000030349192,,,,,52247,
osgb4000000030149531,,,,,13205,
osgb4000000030425796,,,,,10826,
osgb4000000030133325,,,,,14517,
osgb4000000031024277,,,,,7814,
osgb4000000030347439,,,,,16587,
osgb4000000031058714,,,,,21969,
osgb4000000030348923,,,,,27000,
osgb4000000030452573,,,,,14753,
osgb4000000031104345,,,,,19408,
osgb4000000030321001,,,,,16786,
osgb4000000030406178,,,,,35764,
osgb4000000030452901,,,,,15027,
osgb4000000030237186,,,,,18043,
osgb4000000030841429,,,,,18734,
osgb4000000031144636,,,,,23084,
osgb4000000030459570,,,,,4423,
osgb4000000030341678,,,,,8726,
osgb4000000030417782,,,,,15066,
osgb4000000030342408,,,,,803,
osgb4000000031175356,,,,,12424,
osgb4000000030215418,,,,,24023,
osgb4000000030322670,,,,,33188,
osgb4000000030710868,,,,,27740,
osgb4000000030416647,,,,,13720,
osgb4000000030701506,,,,,28889,
osgb4000000030346506,,,,,24129,
osgb4000000030213891,,,,,10285,
osgb4000000030135113,,,,,36671,
osgb4000000030701343,,,,,19694,
osgb4000000031110224,,,,,22298,
osgb4000000030145973,,,,,8058,
osgb4000000030251240,,,,,23106,
osgb4000000031238289,,,,,10931,
osgb4000000030215991,,,,,19790,
osgb4000000030475189,,,,,19343,
osgb4000000030419534,,,,,15303,
osgb4000000030345151,,,,,17419,
osgb4000000030321206,,,,,6365,
osgb4000000030943657,,,,,1237,
osgb4000000030700994,,,,,41217,
osgb4000000031001128,,,,,46758,
osgb4000000031010054,,,,,35633,
osgb4000000030148503,,,,,20627,
osgb4000000030216591,,,,,24389,
osgb4000000030323801,,,,,10888,
osgb4000000030405777,,,,,6838,
osgb4000000031231887,,,,,6375,
osgb4000000030250483,,,,,14403,
osgb4000000030250326,,,,,8353,
osgb4000000030250645,,,,,7663,
osgb4000000030358740,,,,,12282,
osgb4000000030254412,,,,,12287,
osgb4000000030344566,,,,,14314,
osgb4000000030419264,,,,,4277,
osgb4000000031051788,,,,,10441,
osgb4000000030872332,,,,,17072,
osgb4000000030342477,,,,,11196,
osgb4000000030407715,,,,,6880,
osgb4000000031200971,,,,,9711,
osgb4000000030418759,,,,,5720,
osgb4000000030239006,,,,,14071,
osgb4000000030475338,,,,,15196,
osgb4000000030860661,,,,,12867,
osgb4000000030324595,,,,,6338,
osgb4000000030985995,,,,,9966,
osgb4000000030411480,,,,,25827,
osgb4000000031041772,,,,,4821,
osgb4000000030322340,,,,,3770,
osgb4000000031053522,,,,,5728,
osgb4000000031088366,,,,,20720,
osgb4000000030322442,,,,,11317,
osgb4000000030700980,,,,,21970,
osgb4000000030322489,,,,,13786,
osgb4000000030323669,,,,,12801,
osgb4000000031177971,,,,,11098,
osgb4000000031049995,,,,,13895,
osgb4000000030138779,,,,,9073,
osgb4000000030340312,,,,,1795,
osgb4000000030459649,,,,,14269,
osgb4000000030240034,,,,,17634,
osgb4000000030346368,,,,,17453,
osgb4000000030341911,,,,,12182,
osgb4000000030149558,,,,,3995,
osgb4000000030153077,,,,,3922,
osgb4000000031031781,,,,,6157,
osgb4000000030426157,,,,,2592,
osgb4000000030359689,,,,,10530,
osgb4000000031110362,,,,,25349,
osgb4000000030214699,,,,,10494,
osgb4000000030406522,,,,,18786,
osgb4000000030323402,,,,,24944,
osgb4000000030454929,,,,,17186,
osgb4000000031276784,,,,,3109,
osgb4000000031270027,,,,,28467,
osgb4000000030346595,,,,,14793,
osgb4000000030149496,,,,,42965,
osgb4000000030348894,,,,,8427,
osgb4000000030356155,,,,,9731,
osgb4000000030463140,,,,,21561,
osgb4000000030463437,,,,,5132,
osgb4000000030212625,,,,,9811,
osgb4000000030700734,,,,,14726,
